latitude,longitude,name,airport,country,capital
64.13,21.94,К,Кефлавик ,Ісландія,Рейк’явік
53.42,-6.27,D,null,Ірландія,Дублин 
52.7,-8.92,S,null,Ірландія,Шеннон
55.51,-4.59,G,null,Великобританія,Глазго
51.48,-0.46,L,null,Великобританія,Лондон
38.71,-9.14,L,null,Португалія,Ліссабон
40.49,3.57,M,null,Іспанія,Мадрид
44.83,-0.72,B,null,Франція,Бордо
2.57,49,P,null,Франція,Париж
43.64,1.37,T,null,Франція,Тулуза
52.31,4.76,А,null,Нідерланди,Амстердам
50.03,8.57,F,null,Німеччина,Франкфурт
52.38,13.52,B,null,Німеччина,Берлін
48.35,11.79,M,null,Німеччина,Мюнхен
50.1,14.26,P,null,Чехія,Прага
47.46,8.55,Z,null,Швейцарія,Цюріх
48.11,16.57,V,null,Австрія,Відень
47.44,19.26,B,null,Угорщина,Будапешт
52.17,20.97,W,null,Польща,Варшава
42.7,23.41,S,null,Болгарія,Софія
44.5,26.1,B,null,Румунія,Бухарест
37.94,23.94,А,null,Греція,Афіни
41.8,12.25,W,null,Італія,Рим
38.18,13.09,Р,null,О. Cіцілія,Палермо
39.55,2.74,Р,null,О. Майорка,Пальма
36.85,10.23,Т,null,Тунис,Тунис
36.69,3.22,A,null,Алжир,Алжир
33.37,-7.59,С,null,Марокко,Касабланка
27.93,-15.39,L,null,Канарські острови,Лас-Пальмас-де Гран-Канария
32.1,20.27,B,null,Ливия,Бенгази
30.12,31.41,C,null,Єгипет,Каїр
34.88,33.62,L,null,Кипр,Ларнака
33.82,35.49,B,null,Ливан,Бейрут
32.01,34.89,Т,null,Израиль,Тель-Авив
40.13,33,A,null,Туреччина ,Анкара 
50.4,30.45,K,Жуляны,Україна,Киев
55.59,37.26,М,Внуково,Росія,Москва
59.8,30.26,S-P,Пулково,Росія,Санкт-Петербург
53.88,28.03,M,null,Білорусь,Минск
56.92,23.97,R,null,Латвия,Рига
60.32,24.96,Н,null,Фінляндія,Хельсінкі
65.54,22.12,L,null,Швеція,Лулео
59.65,17.92,S,null,Швеція,Стокгольм
60.19,11.1,O,null,Норвегія,Осло
55.62,12.66,K,null,Дания,Копенгаген
51.48,-0.46,L,null,Великобританія,Лондон
55.62,12.66,K,null,Дания,Копенгаген
2.57,49,P,null,Франция,Париж
52.31,4.76,A,null,Нідерланди,Амстердам
40.49,-3.57,M,null,Іспанія,Мадрид
48.11,16.57,V,null,Австрия,Вена
41.8,12.25,R,null,Італия,Рим
37.94,23.94,A,null,Греція,Афіни
47.44,19.26,B,null,Угорщина,Будапешт
59.8,30.26,S-P,null,Росія,Санкт -Петербург
55.59,37.26,M,Внуково,Росія,Москва
40.13,33,A,null,Турція,Анкара
33.82,35.49,B,null,Ліван,Бейрут
30.12,31.41,C,null,Єгипет,Каїр
21.68,39.16,J,null,Сауд Аравія,Джедда
26.27,50.63,B,null,Сауд Аравія,Бахрейн
33.26,44.23,B,null,Ірак,Багдад
35.69,51.31,T,null,Іран,Тегеран
41.67,44.95,T,null,Грузия,Тбілісі
40.48,50.05,B,null,Азейбарджан,Баку
41.26,69.28,T,null,Узбекистан,Ташкент
34.57,69.21,K,null,Афганистан,Кабул
24.91,67.16,K,null,Пакистан,Карачі
19.09,72.87,В,null,Індія,Мумбай
28.57,77.11,N,null,Індія,Нью-Делі
23.18,89.16,D,null,Індія,Джессор
7.18,79.88,C,null,Індія,Коломбо
13.68,100.75,В,null,Тайланд,Бангкок
1.35,103.99,S,null,Малайзія,Сінгапур
21.22,105.81,Н,null,В’єтнам,Ханой
10.82,106.65,Н,null,В’єтнам,Хошимин
14.51,121.02,М,null,Філіпіни,Маніла
30.23,120.43,Н,null,Китай,Ханджоу
40.08,116.58,B,null,Китай,Пекін
43.4,132.15,V,null,Росія ,Владивосток
55.01,82.65,N,null,Росія,Новосибірськ 
52.27,104.39,I,null,Росія,Іркутськ
37.75,112.63,T,null,Тайвань,Тайвань
24.43,54.65,А,null,ОАЕ,Абу-Дабі
64.13,21.94,K,Кефлавік,Ісландія ,Рейкявік
51.48,-0.46,L,null,Великобрит,Лондон
55.62,12.66,K,null,Дания,Копенгаген
59.65,17.92,S,null,Швеция ,Стокгольм
2.57,49,P,null,Франция,Париж
52.31,4.76,A,null,Нідерланди,Амстердам
40.49,-3.57,M,null,Іспанія,Мадрид
48.11,16.57,V,null,Австрия,Вена
50.03,8.57,F,null,Німеччина,Франкфурт
41.8,12.25,R,null,Італия,Рим
59.8,30.26,S-P,null,Росія,Санкт -Петербург
55.59,37.26,M,Внуково,Росія,Москва
40.13,33,A,null,Турція,Анкара
32.01,34.89,Т,null,Израиль ,Тель-Авив 
30.12,31.41,C,null,Єгипет,Каїр
35.69,51.31,T,null,Іран,Тегеран
41.67,44.95,T,null,Грузия,Тбілісі
40.48,50.05,B,null,Азейбарджан,Баку
32.1,20.27,B,null,Ливия,Бенгази
36.69,3.22,А,null,Алжир,Алжир
33.37,-7.59,С,null,Марокко,Касабланка
48.96,-54.61,G,null,Нью-Фаундленд,Гандер
43.68,-79.63,T,null,Канада,Торонто
49.19,-123.18,V,null,Канада,Ванкувер
61.17,-150,А,null,США,Анкоридж
40.64,-73.78,К,Кенеді,США,Нью-Йорк
41.98,-87.91,C,null,США,Чiкаго
32.9,-97.04,D,null,США,Даллас
33.94,-118.41,L,null,США,Лос-Анжелес
19.44,-99.07,М,null,Мексика,Мехіко
64.13,21.94,K,Кефлавік,Ісландія ,Рейкявік
51.48,-0.46,L,null,Великобрит,Лондон
2.57,49,P,null,Франция,Париж
52.31,4.76,A,null,Нідерланди,Амстердам
48.11,16.57,V,null,Австрия,Вена
50.03,8.57,F,null,Німеччина,Франкфурт
41.8,12.25,R,null,Італия,Рим
59.8,30.26,S-P,null,Росія,Санкт -Петербург
55.59,37.26,M,Внуково,Росія,Москва
40.13,33,A,null,Турція,Анкара
30.12,31.41,C,null,Єгипет,Каїр
26.27,50.63,T,null,Сауд Аравія,Бахрейн
41.67,44.95,T,null,Грузия,Тбілісі
40.48,50.05,B,null,Азейбарджан,Баку
40.15,44.4,E,null,Вірменія ,Єреван
32.1,20.27,B,null,Ливия,Бенгази
36.69,3.22,А,null,Алжир,Алжир
33.37,-7.59,С,null,Марокко,Касабланка
24.91,67.16,К,null,Пакистан,Карачі
-18.8,47.48,А,null,Мадагаскар,Антананариу
-26.14,28.25,J,null,ПАР,Йоханесбург
-33.96,18.6,C,null,ПАР,Кейптаун
14.74,-17.49,D,null,Сенегал ,Дакар
-20.16,57.5,P,null,о. Гран-Бе,Порт-Луі 
